Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"matrixMulKernel(matrix, matrix, matrix)",3405082946,32742128,82,47,1,25,11,1,21,0,0,,
"Memcpy DtoH [sync]",3437873395,1842465,,,,,,,,,,4151404,2253179300
"Memcpy HtoD [sync]",3441586870,492425,,,,,,,,,,2078756,4221467228
"Memcpy HtoD [sync]",3442513959,3755588,,,,,,,,,,8327276,2217302856
"matrixMulKernel(matrix, matrix, matrix)",3446378349,133163368,1020,12,1,2,44,1,21,0,0,,
"Memcpy DtoH [sync]",3579595926,1436698,,,,,,,,,,4151404,2889545332
"Memcpy HtoD [sync]",3583072085,716141,,,,,,,,,,2078756,2902718877
"Memcpy HtoD [sync]",3584303211,3610690,,,,,,,,,,8327276,2306283840
"matrixMulKernel(matrix, matrix, matrix)",3588136753,65732613,408,12,1,5,46,1,21,0,0,,
"Memcpy DtoH [sync]",3654494785,1326008,,,,,,,,,,4151404,3130753358
"Memcpy HtoD [sync]",3658071234,505417,,,,,,,,,,2078756,4112952275
"Memcpy HtoD [sync]",3659058772,3372253,,,,,,,,,,8327276,2469350905
"matrixMulKernel(matrix, matrix, matrix)",3662543571,30951279,85,40,1,24,13,1,21,0,0,,
"Memcpy DtoH [sync]",3693706598,1956836,,,,,,,,,,4151404,2121487953
"Memcpy HtoD [sync]",3697543052,678572,,,,,,,,,,2078756,3063427315
"Memcpy HtoD [sync]",3698682400,3708803,,,,,,,,,,8327276,2245273205
"matrixMulKernel(matrix, matrix, matrix)",3702552646,64510127,408,9,1,5,57,1,21,0,0,,
"Memcpy DtoH [sync]",3767110230,1486843,,,,,,,,,,4151404,2792093045
"Memcpy HtoD [sync]",3770696023,531113,,,,,,,,,,2078756,3913961812
"Memcpy HtoD [sync]",3771572231,2706289,,,,,,,,,,8327276,3077009144
"matrixMulKernel(matrix, matrix, matrix)",3775752594,36827706,59,170,1,35,3,1,21,0,0,,
"Memcpy DtoH [sync]",3812644685,1920355,,,,,,,,,,4151404,2161789877
"Memcpy HtoD [sync]",3816455442,681837,,,,,,,,,,2078756,3048757987
