Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",16966516689,98156110,64,19,1,32,27,1,21,0,0,136.009,0.738,82.002
"matrixMulKernel(matrix, matrix, matrix)",17067281400,96177765,64,23,1,32,23,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",17166227538,102460537,64,16,1,32,32,1,21,0,0,136.009,0.946,82.002
"matrixMulKernel(matrix, matrix, matrix)",17271385154,97581311,64,73,1,32,7,1,21,0,0,136.009,0.827,82.002
"matrixMulKernel(matrix, matrix, matrix)",17371572954,99060598,64,34,1,32,15,1,21,0,0,136.009,0.868,82.002
"matrixMulKernel(matrix, matrix, matrix)",17473259496,99496619,64,17,1,32,30,1,21,0,0,136.009,0.936,82.002
"matrixMulKernel(matrix, matrix, matrix)",17575386219,105048915,64,17,1,32,31,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",17683206579,100038683,64,27,1,32,19,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",17785873959,97560639,64,64,1,32,8,1,21,0,0,136.009,0.74,82.002
"matrixMulKernel(matrix, matrix, matrix)",17886339063,98701184,64,24,1,32,22,1,21,0,0,136.009,0.827,82.002
"matrixMulKernel(matrix, matrix, matrix)",17987772396,103772374,64,25,1,32,21,1,21,0,0,136.009,0.827,82.002
"matrixMulKernel(matrix, matrix, matrix)",18094184346,98777790,64,102,1,32,5,1,21,0,0,136.009,0.808,82.002
"matrixMulKernel(matrix, matrix, matrix)",18195552754,97906741,64,57,1,32,9,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",18296026882,103775605,64,25,1,32,21,1,21,0,0,136.009,0.933,82.002
"matrixMulKernel(matrix, matrix, matrix)",18402398961,93333618,64,30,1,32,17,1,21,0,0,136.009,0.848,82.002
"matrixMulKernel(matrix, matrix, matrix)",18498303837,93318130,64,30,1,32,17,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",18594198153,96922865,64,85,1,32,6,1,21,0,0,136.009,0.876,82.002
"matrixMulKernel(matrix, matrix, matrix)",18693694708,96130502,64,23,1,32,23,1,21,0,0,136.009,0.747,82.002
"matrixMulKernel(matrix, matrix, matrix)",18792387700,94603728,64,21,1,32,25,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",18889554206,94155004,64,20,1,32,26,1,21,0,0,136.009,0.992,82.002
"matrixMulKernel(matrix, matrix, matrix)",18986294355,93483886,64,170,1,32,3,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",19082386106,100587533,64,128,1,32,4,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",19185545697,96960143,64,85,1,32,6,1,21,0,0,136.009,0.833,82.002
"matrixMulKernel(matrix, matrix, matrix)",19285097354,96411614,64,47,1,32,11,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",19384091842,228437203,64,509,1,32,1,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",19615304105,94431060,64,22,1,32,24,1,21,0,0,136.009,0.74,82.002
"matrixMulKernel(matrix, matrix, matrix)",19712412789,92550567,64,40,1,32,13,1,21,0,0,136.009,0.739,82.002
"matrixMulKernel(matrix, matrix, matrix)",19807548054,103747574,64,25,1,32,21,1,21,0,0,136.009,0.5,82.002
"matrixMulKernel(matrix, matrix, matrix)",19913914085,228021662,64,509,1,32,1,1,21,0,0,136.009,0.959,82.002
"matrixMulKernel(matrix, matrix, matrix)",20144557436,93644490,64,170,1,32,3,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",20240786431,97959700,64,51,1,32,10,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",20341344215,95882621,64,23,1,32,23,1,21,0,0,136.009,0.992,82.002
"matrixMulKernel(matrix, matrix, matrix)",20439836653,96847043,64,85,1,32,6,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",20539289961,102495848,64,16,1,32,32,1,21,0,0,136.009,0.25,82.006
"matrixMulKernel(matrix, matrix, matrix)",20644343691,95022069,64,37,1,32,14,1,21,0,0,136.009,0.96,82.002
"matrixMulKernel(matrix, matrix, matrix)",20741933465,101864442,64,32,1,32,16,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",20846408524,93324835,64,30,1,32,17,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",20942330504,98818317,64,102,1,32,5,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",21043721582,228346577,64,509,1,32,1,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",21274706199,94344296,64,21,1,32,25,1,21,0,0,136.009,0.933,82.002
"matrixMulKernel(matrix, matrix, matrix)",21371741269,101803995,64,18,1,32,29,1,21,0,0,136.009,0.741,82.002
"matrixMulKernel(matrix, matrix, matrix)",21476490528,98640913,64,43,1,32,12,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",21577983139,93338467,64,30,1,32,17,1,21,0,0,136.009,0.945,82.002
"matrixMulKernel(matrix, matrix, matrix)",21673973438,121057580,64,255,1,32,2,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",21797657026,103761189,64,25,1,32,21,1,21,0,0,136.009,0.99,82.002
"matrixMulKernel(matrix, matrix, matrix)",21903989441,96819428,64,85,1,32,6,1,21,0,0,136.009,0.93,82.002
"matrixMulKernel(matrix, matrix, matrix)",22003534266,94577185,64,22,1,32,24,1,21,0,0,136.009,0.746,82.002
"matrixMulKernel(matrix, matrix, matrix)",22100745939,98746479,64,102,1,32,5,1,21,0,0,136.009,0.848,82.002
"matrixMulKernel(matrix, matrix, matrix)",22202259286,96952576,64,47,1,32,11,1,21,0,0,136.009,0.948,82.002
"matrixMulKernel(matrix, matrix, matrix)",22301794640,97744298,64,51,1,32,10,1,21,0,0,136.009,0.771,82.002
"matrixMulKernel(matrix, matrix, matrix)",22402128051,97212345,64,29,1,32,18,1,21,0,0,136.009,0.933,82.002
"matrixMulKernel(matrix, matrix, matrix)",22501919750,98137695,64,51,1,32,10,1,21,0,0,136.009,0.68,82.002
"matrixMulKernel(matrix, matrix, matrix)",22602656094,95061652,64,22,1,32,24,1,21,0,0,136.009,0.932,82.002
"matrixMulKernel(matrix, matrix, matrix)",22700303851,99358622,64,26,1,32,20,1,21,0,0,136.009,0.974,82.002
"matrixMulKernel(matrix, matrix, matrix)",22802317441,99927822,64,27,1,32,19,1,21,0,0,136.009,0.679,82.002
"matrixMulKernel(matrix, matrix, matrix)",22904839240,102481961,64,16,1,32,32,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",23009936361,98671153,64,43,1,32,12,1,21,0,0,136.009,0.848,82.002
"matrixMulKernel(matrix, matrix, matrix)",23111182036,93329283,64,30,1,32,17,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",23207061329,94651712,64,21,1,32,25,1,21,0,0,136.009,0.931,82.002
