dimension, 2039, 2039
Result (x y micro-second), 18, 16, 9057
Result (x y micro-second), 8, 13, 9399
Result (x y micro-second), 16, 48, 9444
Result (x y micro-second), 47, 8, 8930
Result (x y micro-second), 11, 35, 9911
Result (x y micro-second), 10, 40, 10027
Result (x y micro-second), 19, 28, 9546
Result (x y micro-second), 52, 8, 9097
Result (x y micro-second), 4, 5, 13361
Result (x y micro-second), 24, 33, 9281
Result (x y micro-second), 14, 16, 9167
Result (x y micro-second), 55, 3, 8940
Result (x y micro-second), 8, 20, 9428
Result (x y micro-second), 24, 37, 9277
Result (x y micro-second), 22, 5, 9000
Result (x y micro-second), 37, 19, 9434
Result (x y micro-second), 23, 16, 9121
Result (x y micro-second), 8, 3, 11814
Result (x y micro-second), 4, 52, 10449
Result (x y micro-second), 62, 11, 9428
Result (x y micro-second), 8, 38, 9579
Result (x y micro-second), 1, 35, 24355
Result (x y micro-second), 24, 24, 9079
Result (x y micro-second), 7, 49, 10124
Result (x y micro-second), 19, 28, 9557
Result (x y micro-second), 53, 9, 8987
Result (x y micro-second), 4, 21, 10442
Result (x y micro-second), 16, 62, 9210
Result (x y micro-second), 2, 23, 14215
Result (x y micro-second), 11, 62, 10352
Result (x y micro-second), 44, 15, 9001
Result (x y micro-second), 15, 25, 9291
Result (x y micro-second), 26, 38, 9229
Result (x y micro-second), 23, 3, 9351
Result (x y micro-second), 60, 11, 8928
Result (x y micro-second), 12, 63, 9909
Result (x y micro-second), 31, 5, 8908
Result (x y micro-second), 39, 6, 8952
Result (x y micro-second), 3, 57, 11628
Result (x y micro-second), 12, 2, 11580
Result (x y micro-second), 40, 23, 9126
Result (x y micro-second), 39, 10, 9212
Result (x y micro-second), 22, 1, 11632
Result (x y micro-second), 47, 6, 8880
Result (x y micro-second), 33, 5, 9051
Result (x y micro-second), 8, 28, 9415
Result (x y micro-second), 16, 19, 9105
Result (x y micro-second), 24, 1, 11459
Result (x y micro-second), 51, 14, 9250
Result (x y micro-second), 6, 1, 21635
Result (x y micro-second), 56, 11, 8980
Result (x y micro-second), 4, 13, 10921
Result (x y micro-second), 11, 51, 9748
Result (x y micro-second), 18, 43, 9606
Result (x y micro-second), 6, 6, 11480
Result (x y micro-second), 52, 3, 8840
Result (x y micro-second), 16, 21, 9170
Result (x y micro-second), 27, 22, 9151
Result (x y micro-second), 22, 17, 9148
Result (x y micro-second), 3, 44, 11247
Result (x y micro-second), 5, 2, 16585
Result (x y micro-second), 19, 44, 9429
Result (x y micro-second), 12, 33, 9707
Result (x y micro-second), 7, 16, 9742
Result (x y micro-second), 37, 21, 9313
Result (x y micro-second), 3, 15, 12418
Result (x y micro-second), 11, 21, 9416
Result (x y micro-second), 11, 54, 9712
Result (x y micro-second), 18, 17, 9135
Result (x y micro-second), 5, 17, 10211
Result (x y micro-second), 15, 37, 9518
Result (x y micro-second), 10, 50, 9602
Result (x y micro-second), 26, 13, 9183
Result (x y micro-second), 1, 61, 17446
Result (x y micro-second), 56, 11, 9091
Result (x y micro-second), 17, 30, 9175
Result (x y micro-second), 60, 14, 9110
Result (x y micro-second), 22, 24, 9312
Result (x y micro-second), 56, 11, 8970
Result (x y micro-second), 63, 2, 8790
Result (x y micro-second), 64, 16, 8992
Result (x y micro-second), 19, 4, 9353
