Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",11074843187,500399,,,,,,,,,,4169764,8332878363
"matrixMulKernel(matrix, matrix, matrix)",11075358818,120707158,64,54,1,16,19,1,21,0,0,,
"Memcpy DtoH [sync]",11196088151,546190,,,,,,,,,,4169764,7634273787
"Memcpy HtoD [sync]",11197244433,477809,,,,,,,,,,4169764,8726842734
"Memcpy HtoD [sync]",11197824766,480081,,,,,,,,,,4169764,8685542648
"matrixMulKernel(matrix, matrix, matrix)",11198318798,113817143,64,20,1,16,52,1,21,0,0,,
"Memcpy DtoH [sync]",11312157701,545422,,,,,,,,,,4169764,7645023486
"Memcpy HtoD [sync]",11313305951,474769,,,,,,,,,,4169764,8782721702
"Memcpy HtoD [sync]",11313891884,479216,,,,,,,,,,4169764,8701220326
"matrixMulKernel(matrix, matrix, matrix)",11314394108,152602019,73,37,1,14,28,1,21,0,0,,
"Memcpy DtoH [sync]",11467028318,548046,,,,,,,,,,4169764,7608419731
"Memcpy HtoD [sync]",11468256822,528206,,,,,,,,,,4169764,7894200368
"Memcpy HtoD [sync]",11468896609,509167,,,,,,,,,,4169764,8189383836
"matrixMulKernel(matrix, matrix, matrix)",11469426703,131110050,33,171,1,31,6,1,21,0,0,,
"Memcpy DtoH [sync]",11600560144,544719,,,,,,,,,,4169764,7654889952
"Memcpy HtoD [sync]",11601722122,493008,,,,,,,,,,4169764,8457801901
"Memcpy HtoD [sync]",11602320727,513967,,,,,,,,,,4169764,8112902190
"matrixMulKernel(matrix, matrix, matrix)",11602861797,172625333,128,36,1,8,29,1,21,0,0,,
"Memcpy DtoH [sync]",11775507001,545038,,,,,,,,,,4169764,7650409696
"Memcpy HtoD [sync]",11776694066,482833,,,,,,,,,,4169764,8636037719
"Memcpy HtoD [sync]",11777280543,483280,,,,,,,,,,4169764,8628049991
"matrixMulKernel(matrix, matrix, matrix)",11777777775,134126751,27,69,1,38,15,1,21,0,0,,
"Memcpy DtoH [sync]",11911927085,543439,,,,,,,,,,4169764,7672920051
"Memcpy HtoD [sync]",11913080552,483280,,,,,,,,,,4169764,8628049991
"Memcpy HtoD [sync]",11913669141,490511,,,,,,,,,,4169764,8500857269
"matrixMulKernel(matrix, matrix, matrix)",11914177092,141864994,31,341,1,33,3,1,21,0,0,,
"Memcpy DtoH [sync]",12056062981,542351,,,,,,,,,,4169764,7688312550
"Memcpy HtoD [sync]",12057252991,479728,,,,,,,,,,4169764,8691933762
"Memcpy HtoD [sync]",12057853899,481072,,,,,,,,,,4169764,8667650580
"matrixMulKernel(matrix, matrix, matrix)",12058350427,135203260,30,205,1,35,5,1,21,0,0,,
"Memcpy DtoH [sync]",12193576086,541454,,,,,,,,,,4169764,7701049396
"Memcpy HtoD [sync]",12194728560,480081,,,,,,,,,,4169764,8685542648
"Memcpy HtoD [sync]",12195312285,481745,,,,,,,,,,4169764,8655541832
"matrixMulKernel(matrix, matrix, matrix)",12195809005,134873703,35,49,1,30,21,1,21,0,0,,
"Memcpy DtoH [sync]",12330705075,545390,,,,,,,,,,4169764,7645472047
"Memcpy HtoD [sync]",12331862093,481169,,,,,,,,,,4169764,8665903248
"Memcpy HtoD [sync]",12332448282,484240,,,,,,,,,,4169764,8610944985
"matrixMulKernel(matrix, matrix, matrix)",12332946442,133318266,38,52,1,27,20,1,21,0,0,,
"Memcpy DtoH [sync]",12466286915,548494,,,,,,,,,,4169764,7602205311
"Memcpy HtoD [sync]",12467479996,476432,,,,,,,,,,4169764,8752065352
"Memcpy HtoD [sync]",12468060361,480656,,,,,,,,,,4169764,8675152291
"matrixMulKernel(matrix, matrix, matrix)",12468553881,145038522,57,41,1,18,25,1,21,0,0,,
"Memcpy DtoH [sync]",12613613651,543310,,,,,,,,,,4169764,7674741860
"Memcpy HtoD [sync]",12614761293,473489,,,,,,,,,,4169764,8806464352
"Memcpy HtoD [sync]",12615337946,477969,,,,,,,,,,4169764,8723921425
"matrixMulKernel(matrix, matrix, matrix)",12615830698,174518263,103,18,1,10,58,1,21,0,0,,
"Memcpy DtoH [sync]",12790369184,544366,,,,,,,,,,4169764,7659853848
"Memcpy HtoD [sync]",12791515451,475120,,,,,,,,,,4169764,8776233372
"Memcpy HtoD [sync]",12792093480,476080,,,,,,,,,,4169764,8758536380
"matrixMulKernel(matrix, matrix, matrix)",12792591735,268641458,205,29,1,5,36,1,21,0,0,,
"Memcpy DtoH [sync]",13061253321,551022,,,,,,,,,,4169764,7567327620
"Memcpy HtoD [sync]",13062431010,477265,,,,,,,,,,4169764,8736789833
"Memcpy HtoD [sync]",13063011823,485392,,,,,,,,,,4169764,8590508290
"matrixMulKernel(matrix, matrix, matrix)",13063511551,151545446,79,256,1,13,4,1,21,0,0,,
"Memcpy DtoH [sync]",13215077188,544814,,,,,,,,,,4169764,7653555158
"Memcpy HtoD [sync]",13216247838,480048,,,,,,,,,,4169764,8686139719
"Memcpy HtoD [sync]",13216831979,482096,,,,,,,,,,4169764,8649239985
"matrixMulKernel(matrix, matrix, matrix)",13217327642,226043075,171,43,1,6,24,1,21,0,0,,
"Memcpy DtoH [sync]",13443393212,567629,,,,,,,,,,4169764,7345931937
"Memcpy HtoD [sync]",13444595669,483824,,,,,,,,,,4169764,8618348821
"Memcpy HtoD [sync]",13445184769,485809,,,,,,,,,,4169764,8583134524
"matrixMulKernel(matrix, matrix, matrix)",13445685585,140809509,54,32,1,19,32,1,21,0,0,,
"Memcpy DtoH [sync]",13586518485,545070,,,,,,,,,,4169764,7649960555
"Memcpy HtoD [sync]",13587728174,504783,,,,,,,,,,4169764,8260507980
"Memcpy HtoD [sync]",13588343385,508592,,,,,,,,,,4169764,8198642526
"matrixMulKernel(matrix, matrix, matrix)",13588867400,283261588,256,38,1,4,27,1,21,0,0,,
"Memcpy DtoH [sync]",13872170011,568205,,,,,,,,,,4169764,7338485229
"Memcpy HtoD [sync]",13873449457,528239,,,,,,,,,,4169764,7893707204
"Memcpy HtoD [sync]",13874101404,516623,,,,,,,,,,4169764,8071193113
"matrixMulKernel(matrix, matrix, matrix)",13874646890,149155828,61,18,1,17,59,1,21,0,0,,
